wage,educ,exper,tenure,gender,married
3.849999904632568,16,5,0,male,married
6.179999828338623,14,9,3,female,married
2.9100000858306885,11,1,0,female,single
6.25,16,2,1,female,single
6.25,12,13,0,female,married
9.050000190734863,12,10,2,male,married
10.0,17,5,3,male,married
11.109999656677246,12,30,8,male,married
6.880000114440918,12,31,19,male,married
8.75,16,1,2,male,single
10.0,8,9,0,male,married
3.049999952316284,12,10,0,female,married
3.0,12,38,0,female,married
5.800000190734863,12,19,6,female,married
4.099999904632568,16,5,0,female,married
8.0,12,26,2,male,married
6.150000095367432,12,35,12,female,single
2.700000047683716,9,2,0,female,single
2.75,13,1,2,female,single
3.0,16,19,10,female,married
3.0,14,3,2,female,single
7.360000133514404,8,36,24,male,married
7.5,14,29,24,male,married
3.5,13,1,2,male,single
8.100000381469727,12,38,3,female,married
3.75,18,1,2,male,single
3.25,9,29,0,male,married
5.829999923706055,8,36,15,female,married
3.5,8,4,0,male,single
3.3299999237060547,12,45,4,female,married
4.0,14,22,3,female,single
3.5,12,20,4,female,married
6.25,16,5,0,male,married
2.950000047683716,8,15,2,female,married
5.710000038146973,13,10,2,female,married
3.0,9,3,0,female,single
22.86000061035156,16,16,7,male,married
9.0,12,38,1,male,married
8.329999923706055,15,33,26,male,married
3.0,11,2,0,male,single
5.75,14,6,5,male,married
6.760000228881836,12,19,3,male,married
10.0,12,29,0,male,married
3.0,12,2,0,male,single
3.5,18,3,1,female,single
3.25,12,4,0,male,single
4.0,12,10,1,female,single
2.9200000762939453,12,4,0,female,single
3.059999942779541,12,14,10,female,single
3.200000047683716,12,15,5,female,married
4.75,12,19,0,male,married
3.0,14,17,0,female,married
18.15999984741211,16,29,7,male,married
3.5,12,2,0,female,single
4.110000133514404,14,5,0,male,single
1.9600000381469729,11,38,3,female,single
4.289999961853027,12,3,0,female,single
3.0,10,47,0,male,single
6.449999809265137,12,7,6,male,married
5.199999809265137,6,47,13,male,married
4.5,13,23,2,female,single
3.880000114440918,12,12,3,male,married
3.450000047683716,10,11,0,female,single
10.90999984741211,12,25,23,male,single
4.099999904632568,14,6,0,female,married
3.0,13,3,1,male,single
5.900000095367432,12,14,7,male,married
18.0,18,13,0,female,single
4.0,12,9,0,male,single
3.0,12,1,0,male,single
3.549999952316284,12,6,0,female,married
3.0,12,11,1,female,married
8.75,12,47,44,male,married
2.900000095367432,8,49,6,female,single
6.260000228881836,13,37,17,female,married
3.5,13,2,0,female,single
4.599999904632568,14,7,0,female,married
6.0,12,22,8,male,single
2.890000104904175,10,8,0,female,single
5.579999923706055,16,1,1,male,married
4.0,12,43,6,female,married
6.0,16,2,2,male,single
4.5,12,2,1,female,single
2.9200000762939453,14,1,3,male,single
4.329999923706055,18,1,0,male,single
18.88999938964844,17,26,20,male,married
4.28000020980835,13,1,1,female,single
4.570000171661377,14,37,7,female,married
6.25,15,12,4,female,married
2.950000047683716,14,41,23,male,married
8.75,12,24,1,male,single
8.5,8,38,26,male,single
3.75,12,18,0,female,married
3.150000095367432,12,26,1,male,married
5.0,8,45,2,male,single
6.460000038146973,12,27,0,male,married
2.0,9,2,0,male,single
4.789999961853027,12,41,8,male,married
5.78000020980835,16,11,4,male,married
3.180000066757202,12,5,0,female,married
4.679999828338623,16,3,1,female,single
4.099999904632568,12,3,2,female,single
2.9100000858306885,12,4,0,male,married
6.0,13,21,13,male,married
3.5999999046325684,10,34,26,female,married
3.950000047683716,6,49,6,male,married
7.0,12,6,5,male,married
3.0,12,26,9,female,married
6.079999923706055,16,9,0,male,single
8.630000114440918,12,23,9,male,married
3.0,8,33,2,male,married
3.75,12,5,2,female,married
2.900000095367432,6,49,7,male,married
3.0,4,48,0,male,married
6.25,11,35,31,male,married
3.5,11,23,2,female,single
3.0,7,26,1,female,single
3.240000009536743,12,16,0,female,married
8.020000457763672,18,23,3,female,married
3.3299999237060547,12,36,8,female,married
5.25,16,4,0,male,single
6.25,12,10,0,male,married
3.5,14,18,2,male,married
2.950000047683716,12,3,1,male,single
3.0,10,7,0,female,married
4.690000057220459,10,7,7,male,single
3.7300000190734863,9,33,2,female,single
4.0,10,34,12,male,married
4.0,12,8,0,female,married
2.900000095367432,12,17,1,female,married
3.049999952316284,12,2,0,female,single
5.050000190734863,10,5,0,female,single
13.949999809265137,16,41,16,male,married
18.15999984741211,16,35,28,male,married
6.25,16,11,4,male,single
5.25,12,4,0,male,single
4.789999961853027,12,12,3,female,married
3.3499999046325684,7,35,0,female,single
3.0,8,33,0,male,married
8.430000305175781,16,8,6,male,married
5.699999809265137,16,2,0,male,single
11.979999542236328,18,8,10,male,married
3.5,13,29,1,female,married
4.239999771118164,10,14,5,male,married
7.0,16,26,3,female,married
6.0,14,11,3,female,married
12.220000267028809,16,10,2,male,single
4.5,12,13,0,male,married
3.0,9,23,20,female,married
2.900000095367432,11,1,2,male,single
15.0,11,35,31,male,married
4.0,12,5,2,male,married
5.25,11,13,11,male,married
4.0,12,22,3,male,married
3.299999952316284,12,21,9,female,married
5.050000190734863,12,19,0,female,married
3.5799999237060547,12,13,0,male,single
5.0,14,15,5,male,married
4.570000171661377,14,3,0,male,married
12.5,18,6,2,male,single
3.450000047683716,12,6,5,female,married
4.630000114440918,12,16,1,female,single
10.0,12,31,2,male,married
2.9200000762939453,11,1,0,female,single
4.510000228881836,12,5,2,male,single
6.5,17,3,0,male,married
7.5,16,11,0,male,married
3.539999961853028,13,6,7,female,married
4.199999809265137,13,11,3,female,married
3.509999990463257,12,7,2,female,married
4.5,14,5,0,male,married
3.3499999046325684,14,5,4,female,married
2.9100000858306885,11,2,2,male,single
5.25,10,44,7,male,married
4.050000190734863,8,44,25,male,married
3.75,14,13,0,female,married
3.400000095367432,12,26,15,female,married
3.0,10,2,1,female,single
6.289999961853027,17,10,3,male,married
2.539999961853028,9,2,0,female,single
4.5,12,35,0,female,married
3.130000114440918,12,6,5,female,married
6.360000133514404,14,8,1,male,married
4.679999828338623,16,1,0,male,single
6.800000190734863,12,14,10,male,married
8.529999732971191,10,14,6,male,married
4.170000076293945,0,22,10,female,single
3.75,14,8,4,female,married
11.100000381469728,15,1,4,female,single
3.259999990463257,16,15,5,female,married
9.130000114440918,12,14,12,male,married
4.5,11,37,10,male,married
3.0,11,1,1,female,single
8.75,12,4,4,male,married
4.139999866485596,13,29,0,female,married
2.869999885559082,12,45,8,female,married
3.3499999046325684,13,22,0,female,single
6.079999923706055,16,42,10,male,single
3.0,15,9,0,male,single
4.199999809265137,16,8,0,female,married
5.599999904632568,15,31,15,female,single
10.0,12,24,24,male,married
12.5,18,16,5,male,married
3.759999990463257,6,6,0,male,single
3.0999999046325684,6,14,0,female,single
4.289999961853027,12,47,25,female,married
10.920000076293944,12,34,5,male,married
7.5,16,6,2,female,married
4.050000190734863,9,7,4,female,married
4.650000095367432,12,27,2,male,married
5.0,11,24,5,male,married
2.900000095367432,10,18,0,female,married
8.0,12,12,3,female,single
8.430000305175781,8,27,3,male,married
2.9200000762939453,9,49,0,female,single
6.25,17,4,0,female,single
6.25,16,24,2,female,married
5.110000133514404,11,3,0,male,single
4.0,10,2,0,female,single
4.440000057220459,8,29,11,male,married
6.880000114440918,13,34,21,male,married
5.429999828338623,14,10,3,male,married
3.0,13,5,0,female,single
2.900000095367432,11,2,0,female,single
6.25,7,39,21,male,married
4.340000152587891,16,5,2,female,single
3.25,12,14,2,female,married
7.260000228881836,13,8,2,male,single
6.349999904632568,14,10,1,female,married
5.630000114440918,16,2,2,male,married
8.75,14,9,3,male,married
3.200000047683716,11,1,0,male,single
3.0,8,45,1,female,married
3.0,14,33,3,female,married
12.5,17,21,18,male,married
2.880000114440918,10,2,0,female,single
3.3499999046325684,12,9,1,male,married
6.5,12,33,2,male,married
10.380000114440918,18,16,2,male,married
4.5,14,10,0,male,married
10.0,18,9,8,male,single
3.809999942779541,12,8,1,female,married
8.800000190734863,16,9,1,male,married
9.420000076293944,14,23,0,female,married
6.329999923706055,12,23,8,male,married
4.0,9,22,18,male,single
2.900000095367432,12,37,0,female,married
20.0,12,22,4,male,married
11.25,17,28,25,male,married
3.5,12,14,0,female,single
6.0,15,19,4,female,married
14.380000114440918,17,10,9,male,married
6.360000133514404,16,25,0,male,married
3.549999952316284,12,21,0,female,married
3.0,15,32,0,male,married
4.5,16,21,10,male,married
6.630000114440918,12,36,0,female,single
9.300000190734863,15,2,2,male,married
3.0,12,11,0,female,married
3.25,12,40,2,female,single
1.5,12,11,1,female,married
5.900000095367432,12,9,7,female,married
8.0,16,23,4,male,single
2.900000095367432,11,1,0,female,single
3.289999961853028,14,30,13,male,single
6.5,14,41,33,male,married
4.0,13,6,0,female,single
6.0,14,11,0,male,married
4.079999923706055,12,43,17,female,married
3.75,12,39,2,female,married
3.049999952316284,8,50,24,female,single
3.5,12,26,20,female,married
2.9200000762939453,3,51,30,male,single
4.5,11,3,9,male,single
3.3499999046325684,15,3,1,female,married
5.949999809265137,11,15,9,male,married
8.0,12,17,6,male,married
3.0,4,36,0,male,married
5.0,9,31,9,male,married
5.5,12,9,4,male,married
2.650000095367432,12,42,10,female,married
3.0,11,3,0,female,single
4.5,12,37,14,female,married
17.5,16,23,22,male,married
8.180000305175781,13,21,5,male,single
9.09000015258789,15,11,12,male,married
11.81999969482422,16,35,13,male,married
3.25,12,42,0,female,married
4.5,12,3,0,male,single
4.5,12,13,0,male,married
3.7100000381469727,9,14,7,male,married
6.5,10,14,11,male,married
2.900000095367432,12,39,1,female,married
5.599999904632568,11,11,8,male,married
2.2300000190734863,8,28,3,male,married
5.0,6,18,0,female,married
8.329999923706055,16,6,2,male,married
2.900000095367432,12,26,1,female,single
6.25,12,21,6,male,married
4.550000190734863,16,34,2,male,married
3.2799999713897705,12,17,2,female,single
2.299999952316284,10,2,0,female,single
3.299999952316284,13,5,0,female,single
3.150000095367432,13,1,0,female,single
12.5,14,40,30,male,married
5.150000095367432,16,39,21,female,single
3.130000114440918,10,1,1,male,single
7.25,12,14,5,male,married
2.900000095367432,12,2,2,female,single
1.75,11,2,1,male,single
2.890000104904175,0,42,0,female,married
2.900000095367432,5,34,0,female,married
17.709999084472656,16,10,3,male,married
6.25,16,4,3,male,married
2.5999999046325684,9,4,0,male,single
6.630000114440918,15,21,3,female,married
3.5,12,31,3,female,single
6.5,12,20,14,male,married
3.0,12,36,1,female,single
4.380000114440918,13,7,0,male,married
10.0,12,15,0,male,single
4.949999809265137,7,25,17,male,married
9.0,17,7,0,female,married
1.4299999475479126,12,17,0,female,married
3.0799999237060547,12,3,1,male,single
9.329999923706056,14,12,11,male,married
7.5,12,18,5,male,married
4.75,13,47,1,male,married
5.650000095367432,12,2,0,male,single
15.0,16,14,2,female,married
2.2699999809265137,10,2,0,female,single
4.670000076293945,15,13,18,male,married
11.5600004196167,16,5,1,male,married
3.5,14,5,4,female,single
